transaction_id,user_id,bank_timestamp,local_timestamp,location,ip_address,device_id,network_type,type,amount,currency,account_id,balance_before,balance_after,merchant_name,recipient_id,recipient_bank,behavior_type,fraud_label
TXN-36f3594323,USER-4735ae1b,2025-03-04T14:08:16+00:00,2025-03-04T09:08:16-07:00,"New York, USA",98.76.54.32,iPhone-14,Cellular,Transfer IN,50.0,USD,ACC-abcd1234,2758,2808.0,,REC-efgh6789,BANK-XYZ,Business Owner,0
TXN-e3ed40996f,USER-4735ae1b,2025-03-04T11:45:23+00:00,2025-03-04T06:45:23-05:00,"New York, USA",98.76.54.32,iPhone-12,Wi-Fi,Purchase,10.99,USD,ACC-82736401,8061,8050.01,McDonald's,,,Business Owner,0
TXN-3a40559e48,USER-4735ae1b,2025-03-04T12:00:00+00:00,2025-03-04T07:00:00-05:00,"New York, USA",123.45.67.89,iPhone-12,Wi-Fi,Purchase,12.99,USD,ACC-98765432,6140,6127.01,Amazon,,,Business Owner,0
TXN-e4fe9e85fa,USER-4735ae1b,2025-03-04T14:08:12+00:00,2025-03-04T09:08:12-07:00,"New York, USA",68.201.123.45,iPhone-14,LTE,Purchase,175.21,USD,ACC-82736401,8050.01,7874.8,Apple Store,,,Business Owner,0
TXN-0a59156632,USER-4735ae1b,2025-03-04T16:30:00+00:00,2025-03-04T11:30:00-07:00,"Seattle, USA",103.20.147.123,iPhone-12,Wi-Fi,Purchase,2.5,USD,ACC-98765432,6127.01,6124.51,Microsoft Store,,,Business Owner,0
TXN-5d63468950,USER-4735ae1b,2025-03-04T11:30:00+00:00,2025-03-04T06:30:00-05:00,"New York, USA",98.76.54.32,iPhone-13,Wi-Fi,Transfer IN,12.99,USD,ACC-82736401,7874.8,7887.79,,,,Business Owner,0
TXN-b4242869bf,USER-a86d21e1,2025-06-15T12:30:45+00:00,2025-06-15T07:30:45-07:00,"Los Angeles, USA",192.168.1.1,Samsung Galaxy S21,Mobile,Transfer IN,150.0,USD,ACC-82736401,1990,2140.0,,REC-90123456,,Frequent Online Shopper,0
TXN-56d7fd6049,USER-a86d21e1,2025-06-01T12:30:45+00:00,2025-06-01T07:30:45-04:00,"New York, USA",198.51.100.9,iPhone-13 Pro Max,LTE,Purchase,19.99,USD,ACC-82736401,2140.0,2120.01,Apple Store,,,Frequent Online Shopper,0
TXN-9747140877,USER-a86d21e1,2025-06-15T10:30:00+00:00,2025-06-15T05:30:00-05:00,"New York, USA",187.33.56.201,iPhone-14,Cellular,Purchase,25.99,USD,ACC-82736401,2120.01,2094.0200000000004,Apple Store,,,Frequent Online Shopper,0
TXN-912df2cd87,USER-e1807564,2025-03-04T14:07:55+00:00,2025-03-04T10:07:55-08:00,"New York, USA",192.168.1.1,iPhone-X,Wi-Fi,Purchase,9.99,USD,ACC-e1807564,8204,8194.01,Apple Store,,,Freelancer,0
TXN-607b0c6ae2,USER-e1807564,2025-03-04T16:27:59+00:00,2025-03-04T11:27:59-05:00,"New York, USA",138.72.201.89,iPhone-12,Cellular,Purchase,5.99,USD,ACC-82736401,7926,7920.01,McDonald's,,,Freelancer,0
TXN-95c9e33ebe,USER-e1807564,2025-03-06T17:45:23+00:00,2025-03-06T12:45:23-05:00,"New York, USA",103.22.200.101,Samsung Galaxy S22,Cellular,Purchase,29.99,USD,ACC-82736401,7920.01,7890.02,Apple Store,,,Freelancer,0
TXN-05e2d3727c,USER-dc56d3f5,2025-06-15T10:30:00+00:00,2025-06-15T05:30:00-05:00,"Seattle, USA",205.173.89.144,Samsung Galaxy S21,Mobile,Purchase,39.99,USD,ACC-82736401,6424,6384.01,Amazon,,,Frequent Online Shopper,0
TXN-bac43e519c,USER-fc99c92e,2025-03-15T16:47:29+00:00,2025-03-15T11:47:29-05:00,"New York, USA",98.76.123.45,Samsung Galaxy S22,Cellular,Transfer Out,100.0,USD,ACC-82736401,4355,4255.0,,,,Traveler,0
TXN-703798f64f,USER-fc99c92e,2025-03-15T17:45:32+00:00,2025-03-15T12:45:32-08:00,"New York, USA",192.168.1.113,iPhone-X,Mobile,Transfer Out,150.25,USD,ACC-98765432,658,507.75,,REC-123456789,BankOfAmerica,Traveler,0
